label,selling_price,age,sell_speed,mileage,avg_mileage
1,79704.0,29.0,12,4.65,2.1731754161331627
1,142000.0,37.0,41,5.92,2.4471121177802946
0,53000.0,38.0,131,7.0,1.3848238482384825
1,86000.0,25.0,35,9.9,1.4535398230088494
1,75000.0,34.0,37,3.6,0.7504283266704741
1,132192.0,31.0,76,8.09,1.6350221483942415
1,100000.0,49.0,127,8.83,1.1105961405926947
0,61000.0,24.0,25,3.87,0.8697967980295568
1,77760.0,29.0,48,10.0,1.157260621433101
0,40000.0,25.0,44,9.09,1.1674349049964814
1,85500.0,39.0,35,8.5,1.2841473509933776
1,138888.0,30.0,83,11.12,1.8584249084249085
0,45000.0,40.0,8,8.15,1.0138888888888888
1,115000.0,46.0,86,9.8,1.7612013786312162
0,42000.0,36.0,128,9.76,2.177506112469437
1,78000.0,25.0,58,8.7,1.8208142201834858
0,58000.0,26.0,16,5.01,1.0539769452449568
0,40000.0,28.0,170,4.32,0.7555342597029229
1,89000.0,53.0,104,8.3,1.1497153700189753
0,46000.0,32.0,59,7.53,1.790521172638437
1,126000.0,28.0,74,9.21,1.4329283887468034
0,41040.0,30.0,78,2.76,0.3623741007194244
1,84672.0,38.0,53,6.9,0.901073345259392
1,97000.0,38.0,56,8.6,1.1926291793313069
1,75000.0,25.0,122,6.24,1.5794729542302357
0,53000.0,33.0,121,6.01,1.5725089605734768
1,138000.0,30.0,47,4.0,1.4355948869223207
1,101520.0,29.0,47,2.3,0.9671658986175116
0,54000.0,31.0,71,8.78,1.1424955436720143
1,88000.0,25.0,43,9.06,1.0435153045124643
0,58000.0,26.0,29,6.8,0.8132372214941023
0,68000.0,44.0,61,3.08,1.570111731843575
1,102060.0,35.0,13,2.29,0.2967163649272276
1,110000.0,42.0,96,4.51,2.137857142857143
1,100000.0,28.0,22,2.93,1.3401629072681704
0,67000.0,31.0,14,4.44,1.675904860392968
1,82000.0,47.0,20,6.34,1.104582338902148
1,87480.0,29.0,193,7.31,0.9769864518491392
0,56000.0,35.0,52,4.14,1.967578125
0,54800.0,29.0,171,2.97,1.0353868194842408
0,60000.0,43.0,84,5.11,0.8141204714098648
1,110000.0,28.0,84,4.9,1.3800154320987656
1,113000.0,28.0,81,7.31,1.0745670559806686
